isco08_code,occupation_title,task_score,task_exposure,task_description
2211,Generalist medical practitioners,0.31,Low,"Advising individuals, families and communities on health, nutrition and lifestyle which aid prevention or treatment of disease and disorders;"
2211,Generalist medical practitioners,0.305,Low,"Providing referrals to patients and families for specialized care in hospitals, rehabilitation centres or other types of health care centres;"
2211,Generalist medical practitioners,0.22,Very Low,"Identifying, managing and providing referrals for complications before, during and after childbirth;"
2211,Generalist medical practitioners,0.355,Low,Recording patients' medical information and history and exchanging information with specialist practitioners and other health workers as required for continuing medical care;
2211,Generalist medical practitioners,0.3725,Low,"Reporting births, deaths and notifiable diseases to government authorities to meet legal and professional requirements;"
2211,Generalist medical practitioners,0.4775,Low,Conducting research in human health and medical services and disseminating the findings such as through scientific reports
2211,Generalist medical practitioners,0.3125,Low,Planning and participating in programmes designed to prevent the occurrence and spread of common diseases.
2212,Specialist medical practitioners,0.165,Very Low,Conducting physical examinations of patients and interviewing them and their families to determine their health status;
2212,Specialist medical practitioners,0.335,Low,Considering medical information provided by a referring doctor or other health care provider;
2212,Specialist medical practitioners,0.285,Low,Ordering specialized diagnostic tests to determine the nature of disorders or illnesses;
2212,Specialist medical practitioners,0.18,Very Low,"Prescribing, administering and monitoring patients' responses to treatments, medications, anaesthetics, psychotherapies, physical rehabilitation programmes and other preventive and curative measures;"
2212,Specialist medical practitioners,0.1225,Very Low,Performing surgery of a general or specialized nature;
2212,Specialist medical practitioners,0.1075,Very Low,"Managing complications before, during and after childbirth;"
2212,Specialist medical practitioners,0.365,Low,Recording patients' medical information and exchanging information with other health professionals to ensure the provision of comprehensive care;
2212,Specialist medical practitioners,0.375,Low,"Reporting births, deaths and notifiable diseases to government authorities to meet legal and professional requirements;"
2212,Specialist medical practitioners,0.43,Low,"Providing information to patients and families and communities about preventive measures, treatment and care for specific ailments;"
2212,Specialist medical practitioners,0.155,Very Low,Performing autopsies to determine cause of death;
2212,Specialist medical practitioners,0.388,Low,Conducting research into specific human disorders and illnesses and preventive or curative methods and disseminating the findings such as through scientific reports;
2212,Specialist medical practitioners,0.35,Low,Planning and participating in programmes designed to prevent the occurrence and spread of specific diseases.
2221,Nursing professionals,0.205,Very Low,"Planning, providing and evaluating nursing care for patients according to the practice and standards of modern nursing;"
2221,Nursing professionals,0.285,Low,Coordinating the care of patients in consultation with other health professionals and members of health teams;
2221,Nursing professionals,0.3,Low,"Developing and implementing care plans for the biological, social and psychological treatment of patients in collaboration with other health professionals;"
2221,Nursing professionals,0.11,Very Low,"Planning and providing personal care, treatments and therapies including administering medications, and monitoring responses to treatment or care plan;"
2221,Nursing professionals,0.0625,Very Low,Cleaning wounds and applying surgical dressings and bandages
2221,Nursing professionals,0.12,Very Low,"Monitoring pain and discomfort experienced by patients and alleviating pain using a variety of therapies, including the use of painkilling drugs;"
2221,Nursing professionals,0.355,Low,"Planning and participating in health education programmes, health promotion and nurse education activities in clinical and community settings;"
2221,Nursing professionals,0.365,Low,"Answering questions from patients and families and providing information about prevention of ill-health, treatment and care;"
2221,Nursing professionals,0.2575,Low,"Supervising and coordinating the work of other nursing, health and personal care workers;"
2221,Nursing professionals,0.46,Low,Conducting research on nursing practices and procedures and disseminating findings such as through scientific papers and reports.
2222,Midwifery professionals,0.235,Very Low,"Planning, providing and evaluating care and support services for women and babies before, during and after pregnancy and childbirth according to the practice and standards of modern midwifery care;"
2222,Midwifery professionals,0.2675,Low,"Providing advice to women and families and conducting community education on health, nutrition, hygiene, exercise, birth and emergency plans, breastfeeding, infant care, family planning and contraception, lifestyle and other topics related to pregnancy and childbirth;"
2222,Midwifery professionals,0.2175,Very Low,"Assessing progress during pregnancy and childbirth, managing complications and recognizing warning signs requiring referral to a medical doctor with specialized skills in obstetrics;"
2222,Midwifery professionals,0.2,Very Low,"Monitoring the health status of newborns, managing complications and recognizing warning signs requiring referral to a medical doctor with specialized skills in neonatology;"
2222,Midwifery professionals,0.135,Very Low,"Monitoring pain and discomfort experienced by women during labour and delivery and alleviating pain using a variety of therapies, including the use of painkilling drugs;"
2222,Midwifery professionals,0.5425,Medium,Reporting births to government authorities to meet legal and professional requirements;
2222,Midwifery professionals,0.515,Medium,Conducting research on midwifery practices and procedures and disseminating findings such as through scientific papers and reports;
2222,Midwifery professionals,0.28,Low,Planning and conducting midwifery education activities in clinical and community settings.
2230,Traditional and complementary medicine professionals,0.185,Very Low,Conducting physical examinations of patients and interviewing them and their families to determine their health status;
2230,Traditional and complementary medicine professionals,0.215,Very Low,"Developing and implementing treatment plans for physical, mental and psychosocial ailments using applications such as acupuncture, ayurvedic, homeopathic and herbal medicine;"
2230,Traditional and complementary medicine professionals,0.3625,Low,Evaluating and documenting patients' progress through treatment plans;
2230,Traditional and complementary medicine professionals,0.385,Low,"Providing health, nutrition and lifestyle advice to individuals, families and communities;"
2230,Traditional and complementary medicine professionals,0.265,Low,"Prescribing and preparing traditional medicines, such as herbal, plant, mineral and animal extracts, to stimulate the body's capacity for self-healing;"
2230,Traditional and complementary medicine professionals,0.3675,Low,Exchanging  information about patients with other health care workers as needed to ensure continuing and comprehensive health care;
2230,Traditional and complementary medicine professionals,0.4875,Low,Conducting research into traditional and complementary medicines and treatments and disseminating findings such as through scientific papers and reports.
2240,Paramedical practitioners,0.165,Very Low,"Conducting physical examinations of patients and interviewing them and their families to determine their health status, and recording patients' medical information;"
2240,Paramedical practitioners,0.0925,Very Low,"Performing basic or more routine medical and surgical procedures, including prescribing and administering treatments, medications and other preventive or curative measures, especially for common diseases and disorders;"
2240,Paramedical practitioners,0.235,Very Low,"Administering or ordering diagnostic tests, such as x-ray, electrocardiogram, and laboratory tests;"
2240,Paramedical practitioners,0.095,Very Low,"Performing therapeutic procedures, such as injections, immunizations, suturing and wound care, and infection management;"
2240,Paramedical practitioners,0.1535,Very Low,Assisting medical doctors with complex surgical procedures;
2240,Paramedical practitioners,0.245,Very Low,"Monitoring patients' progress and response to treatment, and identifying signs and symptoms requiring referral to medical doctors;"
2240,Paramedical practitioners,0.335,Low,"Advising patients and families on diet, exercise and other habits which aid prevention or treatment of disease and disorders;"
2240,Paramedical practitioners,0.275,Low,"Identifying and referring complex or unusual cases to medical doctors, hospitals or other places for specialized care;"
2240,Paramedical practitioners,0.505,Medium,"Reporting births, deaths and notifiable diseases to government authorities to meet legal and professional reporting requirements."
2250,Veterinarians,0.21,Very Low,"Determining the presence and nature of abnormal conditions by physical examination, laboratory testing and through diagnostic imaging techniques including radiography and ultrasound;"
2250,Veterinarians,0.115,Very Low,"Treating animals medically and surgically, and administering and prescribing drugs, analgesics, and general and local anaesthetics;"
2250,Veterinarians,0.085,Very Low,"Performing surgery, dressing wounds and setting broken bones;"
2250,Veterinarians,0.1075,Very Low,Rendering obstetric and dental services to animals;
2250,Veterinarians,0.165,Very Low,Participating in programmes designed to prevent the occurrence and spread of animal diseases;
2250,Veterinarians,0.15,Very Low,"Inoculating animals against, and testing for, infectious diseases and notifying authorities of outbreaks of infectious animal diseases;"
2250,Veterinarians,0.13,Very Low,Performing autopsies to determine cause of death;
2250,Veterinarians,0.22,Very Low,"Advising clients on health, nutrition and feeding, hygiene, breeding and care of animals;"
2250,Veterinarians,0.095,Very Low,Providing euthanasia services for animals.
2261,Dentists,0.135,Very Low,"Diagnosing diseases, injuries, irregularities and malformations of teeth and associated structures in the mouth and jaw using a range of methods such as radiographs, salivary tests and medical histories;"
2261,Dentists,0.12,Very Low,"Providing preventative oral health care such as periodontal treatments, fluoride applications and oral health promotion;"
2261,Dentists,0.066,Very Low,Administering anaesthetics to limit the amount of pain experienced by patients during procedures;
2261,Dentists,0.1675,Very Low,Prescribing medication for relief of ongoing  pain after procedures;
2261,Dentists,0.095,Very Low,"Providing restorative oral care such as implants, complex crown and bridge restorations, and orthodontics, and repairing damaged and decayed teeth;"
2261,Dentists,0.115,Very Low,"Providing surgical treatments such as extraction of teeth, biopsy of tissue, and performing orthodontic treatment;"
2261,Dentists,0.105,Very Low,Measuring and taking impressions of patients' jaws and teeth in order to determine the shape and size of dental prostheses;
2261,Dentists,0.15,Very Low,"Designing, making and fitting prosthodontic appliances such as space maintainers, bridges, and dentures, or writing fabrication instructions or prescriptions for dental prosthetic technicians;"
2261,Dentists,0.11,Very Low,Restoring oral function with removable and fixed oral prostheses;
2261,Dentists,0.205,Very Low,Assisting in diagnosing general diseases having oral manifestations such as diabetes;
2261,Dentists,0.255,Low,"Educating patients and families on dental hygiene, nutrition and other measures to take care of oral health;"
2261,Dentists,0.2675,Low,"Supervising dental hygienists, dental assistants and other staff."
2262,Pharmacists,0.335,Low,"Receiving prescriptions for medicinal products from medical doctors and other health professionals, checking patients' medicine histories, and ensuring proper dosage and methods of administration and drug compatibility before dispensing;"
2262,Pharmacists,0.24,Very Low,"Preparing or supervising the preparation and labelling of liquid medicines, ointments, powders, tablets and other medications to fill prescriptions;"
2262,Pharmacists,0.5025,Medium,"Providing information and advice to prescribers and clients regarding drug interactions, incompatibility and contraindications, side effects, dosage and proper medication storage;"
2262,Pharmacists,0.31,Low,"Collaborating with other health care professionals to plan, monitor, review, and evaluate the quality and effectiveness of the medicine therapy of individual patients, and the effectiveness of particular drugs or therapies;"
2262,Pharmacists,0.4075,Low,"Maintaining prescription files and recording issue of narcotics, poisons and habit-forming drugs in accordance with legal and professional requirements;"
2262,Pharmacists,0.1075,Very Low,"Storing and preserving vaccines, serums and other drugs subject to deterioration;"
2262,Pharmacists,0.3475,Low,Advising clients on and supplying non-prescription medicines and diagnostic and therapeutic aids for common conditions;
2262,Pharmacists,0.3375,Low,"Supervising and coordinating the work of pharmacy technicians, pharmacy interns and pharmacy sales assistants;"
2262,Pharmacists,0.32,Low,"Conducting research to develop and improve pharmaceuticals, cosmetics and related chemical products;"
2262,Pharmacists,0.335,Low,"Conferring with chemists, engineering professionals and other professionals about manufacturing techniques and ingredients;"
2262,Pharmacists,0.358,Low,"Testing and analysing drugs to determine their identity, purity and strength in relation to specified standards;"
2262,Pharmacists,0.365,Low,"Evaluating labels, packaging and advertising of drug products;"
2262,Pharmacists,0.355,Low,Developing information and risks of particular drugs.
2263,Environmental and occupational health and hygiene professionals,0.265,Low,"Developing, implementing and reviewing programmes and policies to minimize potential environmental and occupational risks to health and safety;"
2263,Environmental and occupational health and hygiene professionals,0.3625,Low,"Preparing and implementing plans and strategies for the safe, economic and suitable disposal of commercial, industrial, medical and household wastes;"
2263,Environmental and occupational health and hygiene professionals,0.2625,Low,"Implementing prevention programmes and strategies for communicable diseases, food safety, waste water treatment and disposal systems, recreation and domestic water quality, contaminated and hazardous substances;"
2263,Environmental and occupational health and hygiene professionals,0.245,Very Low,"Identifying, reporting and documenting hazards, and assessing and controlling risks in the environment and workplace and advising on compliance with relevant law and regulations;"
2263,Environmental and occupational health and hygiene professionals,0.245,Very Low,"Developing, implementing and monitoring programmes to minimize workplace and environmental pollution involving chemical, physical and biological hazards;"
2263,Environmental and occupational health and hygiene professionals,0.28,Low,"Advising on methods to prevent, eliminate, control or reduce the exposure of workers, students, the public and the environment to radiological and other hazards;"
2263,Environmental and occupational health and hygiene professionals,0.235,Very Low,"Promoting ergonomic principles within the workplace such as matching furniture, equipment and work activities to the needs of employees;"
2263,Environmental and occupational health and hygiene professionals,0.36,Low,"Providing education, information, training and advice to persons at all levels on aspects of occupational hygiene and environmental health;"
2263,Environmental and occupational health and hygiene professionals,0.2625,Low,"Recording and investigating injuries and equipment damage, and reporting safety performance;"
2263,Environmental and occupational health and hygiene professionals,0.285,Low,"Coordinating arrangements for the compensation, rehabilitation and return to work of injured workers."
2264,Physiotherapists,0.165,Very Low,"Administering muscle, nerve, joint  functional ability and other tests to identify and assess physical problems of patients;"
2264,Physiotherapists,0.19,Very Low,"Establishing treatment goals with patients and designing treatment programmes to reduce physical pain, strengthen muscles, improve cardiothoracic, cardiovascular and respiratory functions, restore joint mobility and improve balance and coordination;"
2264,Physiotherapists,0.165,Very Low,"Developing, implementing and monitoring programmes and treatments using the therapeutic properties of exercise, heat, cold, massage, manipulation, hydrotherapy, electrotherapy, ultraviolet and infra-red light and ultrasound in the treatment of patients;"
2264,Physiotherapists,0.2275,Very Low,Instructing patients and their families in procedures to be continued outside clinical settings;
2264,Physiotherapists,0.56,Medium,"Recording information on patients' health status and responses to treatment in medical records-keeping systems, and sharing information with other health professionals as required to ensure continuing and comprehensive care;"
2264,Physiotherapists,0.355,Low,Developing and implementing programmes for screening and prevention of common physical ailments and disorders;
2264,Physiotherapists,0.3225,Low,Supervising the work of physiotherapy assistants and others.
2265,Dieticians and nutritionists,0.3375,Low,"Instructing individuals, families and communities on nutrition, the planning of diets and preparation of food to maximize health benefits and reduce potential risks to health;"
2265,Dieticians and nutritionists,0.415,Low,"Planning diets and menus, supervising the preparation and serving of meals, and monitoring food intake and quality to provide nutritional care in settings offering food services;"
2265,Dieticians and nutritionists,0.365,Low,"Compiling and assessing data relating to health and nutritional status of individuals, groups and communities based on nutritional values of food served or consumed;"
2265,Dieticians and nutritionists,0.4,Low,"Planning and conducting nutrition assessments, intervention programmes, and education and training to improve nutritional levels among individuals and communities;"
2265,Dieticians and nutritionists,0.4,Low,Consulting with other health professionals and care providers to manage the dietary and nutritional needs of patients;
2265,Dieticians and nutritionists,0.415,Low,Developing and evaluating food and nutrition products to meet nutritional requirements;
2265,Dieticians and nutritionists,0.565,Medium,Conducting research on nutrition and disseminating the findings at scientific conferences and in other settings.
2266,Audiologists and speech therapists,0.235,Very Low,"Evaluating hearing, speech and language performance in patients to determine the nature of hearing and communication disorders;"
2266,Audiologists and speech therapists,0.28,Low,"Administering hearing or speech/language tests or other examinations using specialized diagnostic instruments and equipment, and interpreting test results alongside other medical, social and behavioural diagnostic data to determine appropriate courses of treatment;"
2266,Audiologists and speech therapists,0.235,Very Low,"Planning, directing and participating in counselling, screening, speech rehabilitation and other programmes related to hearing and communication;"
2266,Audiologists and speech therapists,0.17,Very Low,Prescribing hearing aids and other assistive devices according to patients’ needs and instructing them in their use;
2266,Audiologists and speech therapists,0.221,Very Low,Planning and conducting treatment programmes to manage physical disorders affecting speech and swallowing;
2266,Audiologists and speech therapists,0.2525,Low,"Counselling and guiding hearing and/or language-impaired individuals, their families, teachers and employers;"
2266,Audiologists and speech therapists,0.27,Low,Referring patients and families to additional medical or educational services if needed.
2267,Optometrists and ophthalmic opticians,0.15,Very Low,Examining patients’ eyes and conducting diagnostic tests to assess ocular health and determine the nature and extent of vision problems and abnormalities;
2267,Optometrists and ophthalmic opticians,0.255,Low,"Testing visual function using specialized instruments and equipment for measuring visual acuity and refractive error, function of visual pathways, visual fields, eye movements, freedom of vision and intraocular pressure;"
2267,Optometrists and ophthalmic opticians,0.215,Very Low,"Detecting, diagnosing and managing eye disease, including prescribing medications for the treatment of eye disease;"
2267,Optometrists and ophthalmic opticians,0.265,Low,Consulting  with and referring patients to ophthalmologists or other health professionals if additional medical treatment is necessary;
2267,Optometrists and ophthalmic opticians,0.185,Very Low,"Detecting and diagnosing eye movement disorders and defects of binocular function, and planning and managing treatment programmes, including counselling patients in eye exercises to coordinate movement and focusing of eyes;"
2267,Optometrists and ophthalmic opticians,0.36,Low,"Prescribing corrective eyeglasses, contact lenses and other vision aids, and checking optical devices for performance, safety, comfort and lifestyle;"
2267,Optometrists and ophthalmic opticians,0.23,Very Low,"Advising on visual health matters such as contact lens care, vision care for the elderly, optics, visual ergonomics, and occupational and industrial eye safety."
2269,Health professionals not elsewhere classified,0.165,Very Low,"Interviewing patients and conducting diagnostic tests  to determine their health status, functional limitations, and the nature of physical or mental disorders, illnesses or other health problems;"
2269,Health professionals not elsewhere classified,0.2,Very Low,"Developing and implementing treatment plans for injuries, illnesses and other physical and mental impairments;"
2269,Health professionals not elsewhere classified,0.295,Low,"Evaluating and documenting patients' progress through treatment plans, and referring patients and families to medical doctors or other health care providers for specialized, rehabilitative or other care services as needed;"
2269,Health professionals not elsewhere classified,0.1075,Very Low,"Administering therapeutic care and treatment to patients, including through application of manual and physical chiropractic and osteopathic techniques;"
2269,Health professionals not elsewhere classified,0.28,Low,"Recommending environmental adaptations in the home, leisure, work and school environments on an individual or group basis to enable individuals with functional limitations to perform their daily activities and occupations;"
2269,Health professionals not elsewhere classified,0.255,Low,"Planning and implementing therapeutic programmes on an individual and group basis for improving and maintaining physical, cognitive, emotional and social functioning, including through the use of arts and crafts, dance and movement, music and other recreational activities;"
2269,Health professionals not elsewhere classified,0.165,Very Low,"Identifying and prescribing treatments for conditions affecting the foot, ankle and related structures of the leg due to illness, disease or other physical impairment, and prescribing corrective footwear and advising on foot care to manage foot ailments;"
2269,Health professionals not elsewhere classified,0.0925,Very Low,Performing minor surgical procedures such as on the foot and ankles.
2310,University and higher education teachers,0.3625,Low,Designing and modifying curricula and preparing courses of study in accordance with requirements;
2310,University and higher education teachers,0.2325,Very Low,"Preparing and delivering lectures and conducting tutorials, seminars and laboratory experiments;"
2310,University and higher education teachers,0.285,Low,Stimulating discussion and independent thought among students;
2310,University and higher education teachers,0.275,Low,"Supervising, where appropriate, experimental and practical work undertaken by students;"
2310,University and higher education teachers,0.555,Medium,"Administering, evaluating and marking examination papers and tests;"
2310,University and higher education teachers,0.35,Low,Directing research of post-graduate students or other members of department;
2310,University and higher education teachers,0.44,Low,"Researching into and developing concepts, theories and operational methods for application in industrial and other fields;"
2310,University and higher education teachers,0.535,Medium,"Preparing scholarly books, papers or articles;"
2310,University and higher education teachers,0.29,Low,Participating in departmental and faculty meetings and in conferences and seminars;
2320,Vocational education teachers,0.435,Low,Developing curricula and planning course content and methods of instruction;
2320,Vocational education teachers,0.36,Low,"Determining training needs of students or workers and liaising with individuals, industry and other education sectors to ensure provision of relevant education and training programmes;"
2320,Vocational education teachers,0.315,Low,Presenting lectures and conducting discussions to increase students' knowledge and competence;
2320,Vocational education teachers,0.21,Very Low,"Instructing and monitoring students in the use of tools, equipment and materials and the prevention of injury and damage;"
2320,Vocational education teachers,0.2975,Low,"Observing and evaluating students' work to determine progress, provide feedback, and make suggestions for improvement;"
2320,Vocational education teachers,0.34,Low,"Administering oral, written or performance tests to measure progress, evaluate training effectiveness and assess competency;"
2320,Vocational education teachers,0.65,Medium,"Preparing reports and maintaining records such as student grades, attendance rolls, and training activity details;"
2320,Vocational education teachers,0.315,Low,"Supervising independent or group projects, field placements, laboratory work or other training;"
2320,Vocational education teachers,0.245,Very Low,Providing individualized instruction and tutorial or remedial instruction;
2320,Vocational education teachers,0.315,Low,"Conducting on-the-job training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects."
2330,Secondary education teachers,0.465,Low,Designing and modifying curricula and preparing educational courses of study in accordance with curriculum guidelines;
2330,Secondary education teachers,0.225,Very Low,Establishing and enforcing rules for behaviour and procedures for maintaining order among students;
2330,Secondary education teachers,0.265,Low,"Preparing and giving lessons, discussions and demonstrations in one or more subjects;"
2330,Secondary education teachers,0.32,Low,"Establishing clear objectives for all lessons, units, and projects and communicating those objectives to students;"
2330,Secondary education teachers,0.235,Very Low,Preparing materials and classrooms for class activities;
2330,Secondary education teachers,0.26,Low,Adapting teaching methods and instructional materials to meet students' varying needs and interests;
2330,Secondary education teachers,0.26,Low,Observing and evaluating students’ performance and behaviour;
2330,Secondary education teachers,0.35,Low,"Preparing, administering and marking tests, assignments and examinations to evaluate pupils' progress;"
2330,Secondary education teachers,0.34,Low,Preparing reports about pupils' work and conferring with other teachers and parents;
2330,Secondary education teachers,0.255,Low,Participating in meetings concerning the school's educational or organizational policies;
2330,Secondary education teachers,0.305,Low,"Planning, organizing and participating in school activities such as excursions, sporting events and concerts."
2341,Primary school teachers,0.465,Low,Preparing daily and longer term lesson plans in accordance with curriculum guidelines;
2341,Primary school teachers,0.195,Very Low,"Instructing children individually and in groups, using various teaching methods and materials (e.g. computers, books, games), adapting to children’s varying needs;"
2341,Primary school teachers,0.16,Very Low,Maintaining discipline and good working habits in the classroom;
2341,Primary school teachers,0.2625,Low,"Planning and conduct activities with the children such as sporting activities, concerts and excursions;"
2341,Primary school teachers,0.3375,Low,Assigning and grading class work and homework;
2341,Primary school teachers,0.285,Low,"Preparing, administering, and grading tests and assignments to evaluate children’s progress;"
2341,Primary school teachers,0.205,Very Low,Observing and evaluating children’s performance and behaviour;
2341,Primary school teachers,0.1925,Very Low,"Supervising children during classes and at other times in the school day, including the playground during breaks;"
2341,Primary school teachers,0.25,Low,"Participating in staff meetings and other sessions, and conferring with other teachers concerning educational issues;"
2341,Primary school teachers,0.26,Low,Preparing for and attending parent meetings to discuss children’s progress and problems.
2342,Early childhood educators,0.28,Low,"Planning and organizing individual and group activities designed to facilitate the development of children's motor skills, cooperative and social skills, confidence and understanding;"
2342,Early childhood educators,0.215,Very Low,"Promoting language development through story-telling, role-play, songs, rhymes and informal conversations and discussions;"
2342,Early childhood educators,0.1775,Very Low,"Leading children in activities that provide opportunities for creative expression through the media of art, dramatic play, music and physical fitness;"
2342,Early childhood educators,0.19,Very Low,"Observing children in order to evaluate progress and to detect signs of developmental, emotional or health related problems;"
2342,Early childhood educators,0.25,Low,"Observing and assessing nutritional health, welfare and safety needs of students and identifying factors which may impede students' progress;"
2342,Early childhood educators,0.18,Very Low,Supervising children's activities to ensure safety and resolve conflicts;
2342,Early childhood educators,0.11,Very Low,"Guiding and assisting children in the development of proper eating, dressing and toilet habits;"
2342,Early childhood educators,0.245,Very Low,Discussing progress or problems of children with parents and other staff members and identifying appropriate actions and referrals to other services;
2342,Early childhood educators,0.225,Very Low,Establishing and maintaining collaborative relationships with other service providers working with young children.
2351,Education methods specialists,0.415,Low,"Researching into current developments in curricula, teaching methods and other educational practices, and advising on necessary changes and possible improvements;"
2351,Education methods specialists,0.485,Low,Evaluating and advising on contents of courses and methods of examination;
2351,Education methods specialists,0.36,Low,"Researching into audiovisual and other teaching aids and advising on, planning and organizing their introduction in educational establishments;"
2351,Education methods specialists,0.5975,Medium,"Documenting subjects and courses developed, and evaluating new courses;"
2351,Education methods specialists,0.335,Low,"Providing ongoing professional development, training and consultative services to teachers;"
2351,Education methods specialists,0.3,Low,Organizing and conducting workshops and conferences to train teachers in new programmes and methods;
2351,Education methods specialists,0.4975,Low,"Developing the structure, content and objectives of new educational courses and programmes;"
2351,Education methods specialists,0.27,Low,"Visiting schools periodically and conferring with administrative and teaching staff on questions relating to curricula, teaching methods, equipment and other matters;"
2351,Education methods specialists,0.235,Very Low,"Visiting classrooms to observe teaching techniques and to evaluate teachers performance, and scholastic results obtained;"
2351,Education methods specialists,0.435,Low,"Preparing reports and making recommendations to educational authorities concerning possible changes and improvements in curricula, teaching methods, and other matters."
2352,Special needs teachers,0.2625,Low,"Assessing students' abilities and limitations with regard to intellectual, physical, social and emotional impairments, exceptional intellectual gifts, or other specific problems;"
2352,Special needs teachers,0.315,Low,"Designing or modifying curricula and preparing and delivering programmes, lessons and activities adapted to students’ abilities and needs;"
2352,Special needs teachers,0.235,Very Low,Giving instruction on an individual or group basis using special techniques or aids appropriate to students’ needs;
2352,Special needs teachers,0.245,Very Low,"Employing special educational strategies and techniques during instruction to improve the development of sensory- and perceptual-motor skills, language, cognition, and memory;"
2352,Special needs teachers,0.255,Low,Establishing  and enforcing rules for behaviour and policies and procedures to maintain order among students;
2352,Special needs teachers,0.1875,Very Low,"Teaching academic subjects and practical and self-help skills to students with  hearing, sight and other impairments;"
2352,Special needs teachers,0.23,Very Low,"Stimulating and developing students’ confidence interests, abilities, manual skills and coordination;"
2352,Special needs teachers,0.24,Very Low,Conferring with other staff members to plan and schedule lessons for special needs students;
2352,Special needs teachers,0.565,Medium,Preparing and maintaining student data and other records and submitting reports;
2352,Special needs teachers,0.335,Low,Administering various forms of assessment and evaluating progress of each student;
2352,Special needs teachers,0.25,Low,"Conferring with students, parents, head teacher and other relevant professionals involved in the students’ care to develop individual educational plans designed to promote students' development."
2353,Other language teachers,0.2875,Low,"Assessing the level of ability and the extent of language difficulties of students,  and establishing students' needs and learning goals;"
2353,Other language teachers,0.255,Low,"Planning, preparing and delivering lessons and workshops for groups and individuals with content and rate of progression adapted to students’ abilities and needs;"
2353,Other language teachers,0.5,Medium,Designing and producing teaching materials and adapting existing materials;
2353,Other language teachers,0.32,Low,Assessing students' progress;
2353,Other language teachers,0.235,Very Low,Assisting students in classroom settings where subjects are taught in a language other than the students’ native language;
2353,Other language teachers,0.265,Low,Providing assistance to other teachers by designing special teaching programmes for students still learning the main language of instruction;
2353,Other language teachers,0.515,Medium,"Assigning and correcting work, and preparing and grading exams;"
2353,Other language teachers,0.335,Low,"Assessing, recording and reporting on students’ progress."
2354,Other music teachers,0.2675,Low,Assessing the students’ level of ability and determining needs and learning goals;
2354,Other music teachers,0.3,Low,"Planning, preparing and delivering programmes of study, lessons and workshops for individual students and groups;"
2354,Other music teachers,0.41,Low,Preparing and presenting material on the theory and interpretation of music;
2354,Other music teachers,0.235,Very Low,Instructing and demonstrating practical aspects of singing or of playing a particular instrument;
2354,Other music teachers,0.35,Low,Teaching students to read and write musical notation;
2354,Other music teachers,0.3375,Low,"Assigning exercises and teaching pieces of music relevant to students’ level of ability, interests and talents;"
2354,Other music teachers,0.3,Low,"Assessing students and offering advice, criticism and encouragement;"
2354,Other music teachers,0.56,Medium,"Revising curricula, course content, course materials and methods of instruction;"
2354,Other music teachers,0.35,Low,"Preparing students for examinations, performances and assessments;"
2354,Other music teachers,0.45,Low,Arranging visits and tours to musical performances;
2354,Other music teachers,0.33,Low,Organizing and assisting in auditions or performances of students' work.
2355,Other arts teachers,0.285,Low,Assessing the students’ level of ability and determining learning needs;
2355,Other arts teachers,0.315,Low,"Planning, preparing and delivering programmes of study, lessons and workshops for individual students and groups;"
2355,Other arts teachers,0.495,Low,Preparing and presenting material on the theory of the subject area being studied;
2355,Other arts teachers,0.1875,Very Low,"Instructing and demonstrating practical aspects of drama, dance, visual or other arts;"
2355,Other arts teachers,0.34,Low,"Assigning exercises and work relevant to students’ level of ability, interests and talents;"
2355,Other arts teachers,0.265,Low,"Assessing students and offering advice, criticism and encouragement;"
2355,Other arts teachers,0.49,Low,"Revising curricula, course content, course materials and methods of instruction;"
2355,Other arts teachers,0.295,Low,"Preparing students for examinations, performance and assessments;"
2355,Other arts teachers,0.46,Low,Arranging visits and tours to exhibitions and  performances;
2355,Other arts teachers,0.33,Low,Organising and assisting in performances or exhibitions of students' work.
2356,Information technology trainers,0.415,Low,Identifying the information technology training needs and requirements of individual users and organizations;
2356,Information technology trainers,0.53,Medium,"Preparing and developing instructional training material and aids such as handbooks, visual aids, online tutorials, demonstration models, and supporting training reference documentation;"
2356,Information technology trainers,0.36,Low,"Designing, coordinating, scheduling and conducting training and development programmes that can be delivered in the form of individual and group instruction, and facilitating workshops meetings; demonstrations and conferences;"
2356,Information technology trainers,0.37,Low,"Monitoring and performing ongoing evaluation and assessment of training quality and effectiveness, and reviewing and modifying training objectives, methods and course deliverables;"
2356,Information technology trainers,0.56,Medium,"Gathering, investigating and researching background materials to gain a full understanding of the subject matter and systems;"
2356,Information technology trainers,0.585,Medium,"Keeping up-to-date with new product version releases, advances in software, and general information technology trends, writing end user products and materials such as user training, tutorial and instruction manuals, online help, and operating and maintenance instructions."
2359,Teaching professionals not elsewhere classified,0.15,Very Low,In such cases tasks performed would include -
2359,Teaching professionals not elsewhere classified,0.31,Low,Assessing students’ level of ability and determining learning needs;
2359,Teaching professionals not elsewhere classified,0.36,Low,"Planning, preparing and delivering programmes of study, lessons and workshops for individual students and groups;"
2359,Teaching professionals not elsewhere classified,0.495,Low,Preparing and presenting material on the theory of the subject area being studied;
2359,Teaching professionals not elsewhere classified,0.26,Low,Instructing and demonstrating practical aspects of the subject area being studied;
