SOC Code,Occupation Title,Language Modeling AIOE
47-5041,Continuous Mining Machine Operators,-1.355229
47-5042,Mine Cutting and Channeling Machine Operators,-1.282551
47-5051,"Rock Splitters, Quarry",-1.614262
47-5061,"Roof Bolters, Mining",-1.592865
47-5071,"Roustabouts, Oil and Gas",-1.500306
47-5081,Helpers--Extraction Workers,-1.572339
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",-0.114278
49-2011,"Computer, Automated Teller, and Office Machine Repairers",-0.4540974
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.7432581
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.9385692
49-2091,Avionics Technicians,-0.2635513
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.9800403
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.910105
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",-0.7028455
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.6720283
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.8695781
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,-0.7303536
49-2098,Security and Fire Alarm Systems Installers,-0.6848876
49-3011,Aircraft Mechanics and Service Technicians,-0.8144518
49-3021,Automotive Body and Related Repairers,-1.199119
49-3022,Automotive Glass Installers and Repairers,-1.234898
49-3023,Automotive Service Technicians and Mechanics,-1.031144
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-1.058387
49-3041,Farm Equipment Mechanics and Service Technicians,-1.238646
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-1.258737
49-3043,Rail Car Repairers,-1.48498
49-3051,Motorboat Mechanics and Service Technicians,-0.9378443
49-3052,Motorcycle Mechanics,-0.6656164
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.9614864
49-3091,Bicycle Repairers,-0.8226086
49-3092,Recreational Vehicle Service Technicians,-0.8694882
49-3093,Tire Repairers and Changers,-1.422963
49-9011,Mechanical Door Repairers,-1.281903
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.7805839
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.8960592
49-9031,Home Appliance Repairers,-0.9281666
49-9041,Industrial Machinery Mechanics,-1.217021
49-9043,"Maintenance Workers, Machinery",-1.015195
49-9044,Millwrights,-1.283911
49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.208758
49-9051,Electrical Power-Line Installers and Repairers,-1.118984
49-9052,Telecommunications Line Installers and Repairers,-1.054143
49-9061,Camera and Photographic Equipment Repairers,-0.35977
49-9062,Medical Equipment Repairers,-0.5367757
49-9063,Musical Instrument Repairers and Tuners,-0.5843092
49-9064,Watch Repairers,-0.6192911
49-9071,"Maintenance and Repair Workers, General",-1.06955
49-9081,Wind Turbine Service Technicians,-0.9838256
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.8515025
49-9092,Commercial Divers,-1.08214
49-9093,"Fabric Menders, Except Garment",-1.464355
49-9094,Locksmiths and Safe Repairers,-0.9909422
49-9095,Manufactured Building and Mobile Home Installers,-1.439807
49-9096,Riggers,-1.277513
49-9097,Signal and Track Switch Repairers,-1.147593
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",-1.320576
49-9099,"Installation, Maintenance, and Repair Workers, All Other",-0.7931647
51-1011,First-Line Supervisors of Production and Operating Workers,-0.0370227
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.9270664
51-2021,"Coil Winders, Tapers, and Finishers",-0.8689131
51-2022,Electrical and Electronic Equipment Assemblers,-0.7516789
51-2023,Electromechanical Equipment Assemblers,-0.6523108
51-2031,Engine and Other Machine Assemblers,-1.044632
51-2041,Structural Metal Fabricators and Fitters,-1.077573
51-2091,Fiberglass Laminators and Fabricators,-1.276767
51-2092,Team Assemblers,-0.8316012
51-2093,Timing Device Assemblers and Adjusters,-0.6354496
51-3011,Bakers,-0.4742939
51-3021,Butchers and Meat Cutters,-0.976576
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.0259
51-3023,Slaughterers and Meat Packers,-1.542946
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.7900841
51-3092,Food Batchmakers,-0.4268211
51-3093,Food Cooking Machine Operators and Tenders,-0.6185341
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.8881877
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",-0.341184
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.324775
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.880991
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-1.186053
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-1.149575
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.8868215
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.194061
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-1.126104
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8670107
51-4041,Machinists,-0.9782187
51-4051,Metal-Refining Furnace Operators and Tenders,-1.303524
51-4052,"Pourers and Casters, Metal",-1.143326
51-4061,"Model Makers, Metal and Plastic",-0.8677119
51-4062,"Patternmakers, Metal and Plastic",-0.7883947
51-4071,Foundry Mold and Coremakers,-1.641733
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.108139
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.8448762
51-4111,Tool and Die Makers,-0.6871514
51-4121,"Welders, Cutters, Solderers, and Brazers",-1.297821
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-1.047832
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-1.171104
51-4192,"Layout Workers, Metal and Plastic",-0.9359565
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8283305
51-4194,"Tool Grinders, Filers, and Sharpeners",-1.097234
51-5111,Prepress Technicians and Workers,-0.0014732
51-5112,Printing Press Operators,-0.84434
51-5113,Print Binding and Finishing Workers,-0.9139293
51-6011,Laundry and Dry-Cleaning Workers,-0.8894878
51-6021,"Pressers, Textile, Garment, and Related Materials",-1.853906
51-6031,Sewing Machine Operators,-1.272624
51-6041,Shoe and Leather Workers and Repairers,-1.006982
51-6042,Shoe Machine Operators and Tenders,-1.052404
51-6051,"Sewers, Hand",-1.019362
51-6052,"Tailors, Dressmakers, and Custom Sewers",-0.6065376
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.9229649
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-1.116033
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.155505
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.416544
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.9238047
51-6092,Fabric and Apparel Patternmakers,-0.3332033
51-6093,Upholsterers,-1.405178
51-7011,Cabinetmakers and Bench Carpenters,-1.326847
51-7021,Furniture Finishers,-1.238141
51-7031,"Model Makers, Wood",-0.8021085
51-7032,"Patternmakers, Wood",-1.208153
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",-1.265049
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-1.203906
51-8011,Nuclear Power Reactor Operators,0.408817
51-8012,Power Distributors and Dispatchers,0.2565828
51-8013,Power Plant Operators,-0.4411169
51-8021,Stationary Engineers and Boiler Operators,-0.579769
51-8031,Water and Wastewater Treatment Plant and System Operators,-0.5590585
51-8091,Chemical Plant and System Operators,-0.560149
51-8092,Gas Plant Operators,-0.5741886
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",-0.6505692
51-8099,"Plant and System Operators, All Other",-0.8108405
51-9011,Chemical Equipment Operators and Tenders,-0.6780245
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-1.048361
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-1.135783
51-9022,"Grinding and Polishing Workers, Hand",-1.219517
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.940904
51-9031,"Cutters and Trimmers, Hand",-0.9457526
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",-1.198831
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-1.137883
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-0.846812
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",-0.1556781
51-9071,Jewelers and Precious Stone and Metal Workers,-0.6366536
51-9081,Dental Laboratory Technicians,-0.4373581
51-9082,Medical Appliance Technicians,-0.5483078
51-9083,Ophthalmic Laboratory Technicians,-0.9183928
51-9111,Packaging and Filling Machine Operators and Tenders,-1.010728
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-1.278573
51-9122,"Painters, Transportation Equipment",-1.568217
51-9123,"Painting, Coating, and Decorating Workers",-0.9510761
51-9141,Semiconductor Processors,-0.7132968
51-9151,Photographic Process Workers and Processing Machine Operators,-0.4977627
51-9191,Adhesive Bonding Machine Operators and Tenders,-1.285473
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.124215
51-9193,Cooling and Freezing Equipment Operators and Tenders,-1.03085
51-9194,Etchers and Engravers,-0.774569
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",-1.241238
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",-0.9174437
51-9197,Tire Builders,-1.462842
51-9198,Helpers--Production Workers,-1.35537
51-9199,"Production Workers, All Other",-1.3628
53-1011,Aircraft Cargo Handling Supervisors,-0.7511079
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",0.1384267
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.0677804
53-2011,"Airline Pilots, Copilots, and Flight Engineers",-0.7584905
53-2012,Commercial Pilots,-0.6443627
53-2021,Air Traffic Controllers,0.647652
53-2022,Airfield Operations Specialists,0.2457533
53-2031,Flight Attendants,-0.3649124
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.8443602
53-3021,"Bus Drivers, Transit and Intercity",-1.050048
53-3022,"Bus Drivers, School or Special Client",-0.728628
53-3031,Driver/Sales Workers,-0.7222196
53-3032,Heavy and Tractor-Trailer Truck Drivers,-1.400404
53-3033,Light Truck or Delivery Services Drivers,-1.200241
53-3041,Taxi Drivers and Chauffeurs,-0.9380351
53-4011,Locomotive Engineers,-0.9161659
53-4012,Locomotive Firers,-1.072977
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-1.021101
53-4021,"Railroad Brake, Signal, and Switch Operators",-1.306099
53-4031,Railroad Conductors and Yardmasters,-0.5790616
53-4041,Subway and Streetcar Operators,-0.9125129
53-5011,Sailors and Marine Oilers,-1.269228
53-5021,"Captains, Mates, and Pilots of Water Vessels",-0.7930261
53-5022,Motorboat Operators,-1.176522
53-5031,Ship Engineers,-0.5671973
53-6011,Bridge and Lock Tenders,-0.7989979
53-6021,Parking Lot Attendants,-1.037648
53-6031,Automotive and Watercraft Service Attendants,-1.108146
53-6041,Traffic Technicians,0.1289119
53-6051,Transportation Inspectors,-0.3175816
53-6061,"Transportation Attendants, Except Flight Attendants",-0.1178739
53-7011,Conveyor Operators and Tenders,-0.8455815
53-7021,Crane and Tower Operators,-1.351634
53-7031,Dredge Operators,-1.25554
53-7032,Excavating and Loading Machine and Dragline Operators,-1.364242
53-7033,"Loading Machine Operators, Underground Mining",-1.390484
53-7041,Hoist and Winch Operators,-1.126569
53-7051,Industrial Truck and Tractor Operators,-1.575411
53-7061,Cleaners of Vehicles and Equipment,-1.535339
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.49843
53-7063,Machine Feeders and Offbearers,-1.013417
53-7064,"Packers and Packagers, Hand",-1.193372
53-7071,Gas Compressor and Gas Pumping Station Operators,-0.8727033
53-7072,"Pump Operators, Except Wellhead Pumpers",-0.9716578
53-7073,Wellhead Pumpers,-1.099431
53-7081,Refuse and Recyclable Material Collectors,-1.262763
53-7111,Mine Shuttle Car Operators,-1.497306
53-7121,"Tank Car, Truck, and Ship Loaders",-1.403185
