SOC Code,Occupation Title,Image Generation AIOE
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",-0.1694389
47-5041,Continuous Mining Machine Operators,-0.600429
47-5042,Mine Cutting and Channeling Machine Operators,-0.9489608
47-5051,"Rock Splitters, Quarry",-1.737546
47-5061,"Roof Bolters, Mining",-1.429924
47-5071,"Roustabouts, Oil and Gas",-1.290783
47-5081,Helpers--Extraction Workers,-1.176056
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",0.0602245
49-2011,"Computer, Automated Teller, and Office Machine Repairers",0.1531325
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",-0.1242116
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",-0.2988622
49-2091,Avionics Technicians,0.1728086
49-2092,"Electric Motor, Power Tool, and Related Repairers",-0.308519
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",-0.384382
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",0.246237
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",-0.0598297
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",-0.3960572
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,0.0489165
49-2098,Security and Fire Alarm Systems Installers,-0.454108
49-3011,Aircraft Mechanics and Service Technicians,-0.1538603
49-3021,Automotive Body and Related Repairers,-0.7019437
49-3022,Automotive Glass Installers and Repairers,-0.6595066
49-3023,Automotive Service Technicians and Mechanics,-0.7076737
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,-0.7601582
49-3041,Farm Equipment Mechanics and Service Technicians,-1.02506
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",-0.7082888
49-3043,Rail Car Repairers,-1.04777
49-3051,Motorboat Mechanics and Service Technicians,-0.7135113
49-3052,Motorcycle Mechanics,-1.034888
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,-0.6314365
49-3091,Bicycle Repairers,-0.8373286
49-3092,Recreational Vehicle Service Technicians,-0.8190206
49-3093,Tire Repairers and Changers,-1.562023
49-9011,Mechanical Door Repairers,-1.186684
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",-0.3885263
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",-0.5521239
49-9031,Home Appliance Repairers,-0.8969792
49-9041,Industrial Machinery Mechanics,-0.8465762
49-9043,"Maintenance Workers, Machinery",-0.7243118
49-9044,Millwrights,-0.9461099
49-9045,"Refractory Materials Repairers, Except Brickmasons",-1.133563
49-9051,Electrical Power-Line Installers and Repairers,-0.6397462
49-9052,Telecommunications Line Installers and Repairers,-0.8191236
49-9061,Camera and Photographic Equipment Repairers,1.231826
49-9062,Medical Equipment Repairers,0.4792963
49-9063,Musical Instrument Repairers and Tuners,-0.6609262
49-9064,Watch Repairers,0.8048636
49-9071,"Maintenance and Repair Workers, General",-0.6091456
49-9081,Wind Turbine Service Technicians,-0.5755093
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",-0.2727053
49-9092,Commercial Divers,-0.7830058
49-9093,"Fabric Menders, Except Garment",-0.9396479
49-9094,Locksmiths and Safe Repairers,-0.2969327
49-9095,Manufactured Building and Mobile Home Installers,-0.9141364
49-9096,Riggers,-0.5586912
49-9097,Signal and Track Switch Repairers,0.0566345
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",-1.097894
49-9099,"Installation, Maintenance, and Repair Workers, All Other",-0.1460183
51-1011,First-Line Supervisors of Production and Operating Workers,-0.2315802
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-0.5211912
51-2021,"Coil Winders, Tapers, and Finishers",-0.817187
51-2022,Electrical and Electronic Equipment Assemblers,-0.14857
51-2023,Electromechanical Equipment Assemblers,-0.0850347
51-2031,Engine and Other Machine Assemblers,-0.5711803
51-2041,Structural Metal Fabricators and Fitters,-0.9615529
51-2091,Fiberglass Laminators and Fabricators,-0.7686316
51-2092,Team Assemblers,-0.7084011
51-2093,Timing Device Assemblers and Adjusters,0.6284612
51-3011,Bakers,-0.0537325
51-3021,Butchers and Meat Cutters,-0.9157081
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",-1.208184
51-3023,Slaughterers and Meat Packers,-2.529332
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",-0.6771246
51-3092,Food Batchmakers,-0.6487997
51-3093,Food Cooking Machine Operators and Tenders,-0.7325209
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",-0.2766625
51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.5465338
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",-0.8867821
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",-0.6361212
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",-0.901472
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",-0.6893845
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.3924087
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.5705464
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.9061331
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",-1.019678
51-4041,Machinists,-0.5375696
51-4051,Metal-Refining Furnace Operators and Tenders,-0.7556936
51-4052,"Pourers and Casters, Metal",-0.5392559
51-4061,"Model Makers, Metal and Plastic",-0.4422598
51-4062,"Patternmakers, Metal and Plastic",-0.0806986
51-4071,Foundry Mold and Coremakers,-1.785023
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",-1.173385
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",-0.5758345
51-4111,Tool and Die Makers,0.0744022
51-4121,"Welders, Cutters, Solderers, and Brazers",-0.6965669
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",-0.7770255
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",-0.8941913
51-4192,"Layout Workers, Metal and Plastic",-0.0160197
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",-0.9970344
51-4194,"Tool Grinders, Filers, and Sharpeners",-0.4872859
51-5111,Prepress Technicians and Workers,1.556171
51-5112,Printing Press Operators,-0.2242107
51-5113,Print Binding and Finishing Workers,-0.7243609
51-6011,Laundry and Dry-Cleaning Workers,-1.346116
51-6021,"Pressers, Textile, Garment, and Related Materials",-1.892426
51-6031,Sewing Machine Operators,-0.178801
51-6041,Shoe and Leather Workers and Repairers,-0.9580657
51-6042,Shoe Machine Operators and Tenders,-0.8825489
51-6051,"Sewers, Hand",0.5866556
51-6052,"Tailors, Dressmakers, and Custom Sewers",0.1317748
51-6061,Textile Bleaching and Dyeing Machine Operators and Tenders,-0.8292715
51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",-0.7846009
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",-1.501937
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",-1.282726
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",-0.7940869
51-6092,Fabric and Apparel Patternmakers,0.8417298
51-6093,Upholsterers,-0.5489876
51-7011,Cabinetmakers and Bench Carpenters,-1.027223
51-7021,Furniture Finishers,-0.5871682
51-7031,"Model Makers, Wood",-0.4842993
51-7032,"Patternmakers, Wood",-0.6268479
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",-0.8215746
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",-0.9519568
51-8011,Nuclear Power Reactor Operators,1.211374
51-8012,Power Distributors and Dispatchers,0.9828096
51-8013,Power Plant Operators,-0.1809246
51-8021,Stationary Engineers and Boiler Operators,-0.3852146
51-8031,Water and Wastewater Treatment Plant and System Operators,-0.1983719
51-8091,Chemical Plant and System Operators,-0.3017132
51-8092,Gas Plant Operators,0.1276515
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.1674973
51-8099,"Plant and System Operators, All Other",-0.3448496
51-9011,Chemical Equipment Operators and Tenders,-0.184255
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",-0.5839289
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",-0.8408297
51-9022,"Grinding and Polishing Workers, Hand",-0.7962199
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",-0.556771
51-9031,"Cutters and Trimmers, Hand",-0.8862255
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",-0.6916952
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",-0.7834548
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",-1.383934
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.1120355
51-9071,Jewelers and Precious Stone and Metal Workers,1.03542
51-9081,Dental Laboratory Technicians,1.043164
51-9082,Medical Appliance Technicians,-0.3203743
51-9083,Ophthalmic Laboratory Technicians,0.0859581
51-9111,Packaging and Filling Machine Operators and Tenders,-0.903661
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",-0.5086694
51-9122,"Painters, Transportation Equipment",-0.5831384
51-9123,"Painting, Coating, and Decorating Workers",-0.6129321
51-9141,Semiconductor Processors,-0.2814126
51-9151,Photographic Process Workers and Processing Machine Operators,0.0623692
51-9191,Adhesive Bonding Machine Operators and Tenders,-1.290612
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",-1.118031
51-9193,Cooling and Freezing Equipment Operators and Tenders,-0.6569152
51-9194,Etchers and Engravers,-0.1384033
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",-0.6597264
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",-0.8366433
51-9197,Tire Builders,-1.899106
51-9198,Helpers--Production Workers,-1.337081
51-9199,"Production Workers, All Other",-0.9111404
53-1011,Aircraft Cargo Handling Supervisors,-0.5171896
53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",-0.087736
53-1031,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.3555912
53-2011,"Airline Pilots, Copilots, and Flight Engineers",1.008655
53-2012,Commercial Pilots,0.988984
53-2021,Air Traffic Controllers,1.893165
53-2022,Airfield Operations Specialists,1.109918
53-2031,Flight Attendants,-1.864235
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-0.6057287
53-3021,"Bus Drivers, Transit and Intercity",0.4810737
53-3022,"Bus Drivers, School or Special Client",0.7709981
53-3031,Driver/Sales Workers,-0.5969536
53-3032,Heavy and Tractor-Trailer Truck Drivers,-0.287732
53-3033,Light Truck or Delivery Services Drivers,-0.6486055
53-3041,Taxi Drivers and Chauffeurs,0.2078529
53-4011,Locomotive Engineers,0.3538676
53-4012,Locomotive Firers,0.0201893
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",-0.3241935
53-4021,"Railroad Brake, Signal, and Switch Operators",-0.7716674
53-4031,Railroad Conductors and Yardmasters,-0.1383963
53-4041,Subway and Streetcar Operators,-0.1670065
53-5011,Sailors and Marine Oilers,-0.6032496
53-5021,"Captains, Mates, and Pilots of Water Vessels",0.6720023
53-5022,Motorboat Operators,0.0357048
53-5031,Ship Engineers,-0.4819254
53-6011,Bridge and Lock Tenders,-0.2284603
53-6021,Parking Lot Attendants,-0.0814306
53-6031,Automotive and Watercraft Service Attendants,-1.336295
53-6041,Traffic Technicians,1.031206
53-6051,Transportation Inspectors,0.1508499
53-6061,"Transportation Attendants, Except Flight Attendants",-1.130747
53-7011,Conveyor Operators and Tenders,-0.4912384
53-7021,Crane and Tower Operators,-0.0267313
53-7031,Dredge Operators,-0.3888935
53-7032,Excavating and Loading Machine and Dragline Operators,-0.4856675
53-7033,"Loading Machine Operators, Underground Mining",-0.7545732
53-7041,Hoist and Winch Operators,-0.5439873
53-7051,Industrial Truck and Tractor Operators,-0.6986788
53-7061,Cleaners of Vehicles and Equipment,-1.417647
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.791936
53-7063,Machine Feeders and Offbearers,-1.217071
53-7064,"Packers and Packagers, Hand",-2.100734
53-7071,Gas Compressor and Gas Pumping Station Operators,-0.326689
53-7072,"Pump Operators, Except Wellhead Pumpers",-0.5333435
53-7073,Wellhead Pumpers,-0.9525345
53-7081,Refuse and Recyclable Material Collectors,-0.9049217
53-7111,Mine Shuttle Car Operators,-0.7834548
53-7121,"Tank Car, Truck, and Ship Loaders",-1.098081
